url,file,exact_claim_text,claim_category,claim_type,visible_source_present,visible_sources,source_support_status,source_quality,source_publication_date,geographic_scope,time_sensitivity,expert_review_required,risk_level,recommended_action
https://detecthiddenfees.com/about-detect-hidden-fees,about-detect-hidden-fees.html,"DetectHiddenFees.com was created to help consumers navigate the complex world of billing, contracts, and pricing. Hidden fees cost Americans billions of dollars each year across healthcare, banking, telecommunications, insurance, automotive, home services, and subscription industries. Our platform uses AI-assisted analysis to identify potential fee patterns, unclear pricing language, and areas consumers may want to question before paying or signing.","[""savings_or_financial_outcome"", ""pricing_or_market_rate"", ""product_capability"", ""market_or_prevalence""]",promotional_or_product_statement,False,[],no_visible_source_found,unassessed,,not stated,high,True,High,Add a directly supporting source or label as an example/estimate
https://detecthiddenfees.com/about-detect-hidden-fees,about-detect-hidden-fees.html,"Our AI-assisted document analysis examines bills, invoices, contracts, and estimates to identify patterns that may indicate hidden fees, pricing manipulation, or unfavorable terms. The analysis flags potential issues for review, explains what each flag means in plain language, and provides context to help users decide whether to take action.","[""pricing_or_market_rate""]",promotional_or_product_statement,False,[],no_visible_source_found,unassessed,,not stated,high,False,Low,Add a directly supporting source or label as an example/estimate
https://detecthiddenfees.com/about-detect-hidden-fees,about-detect-hidden-fees.html,"DetectHiddenFees is an AI-powered information tool. It provides analysis and observations, not legal or financial advice. Users should verify any important findings with qualified professionals when making financial or legal decisions.","[""legal_or_regulatory"", ""absolute_or_superlative""]",instructional,False,[],no_visible_source_found,unassessed,,not stated,high,True,High,Add primary jurisdiction-specific source and legal qualifier or refer for review
https://detecthiddenfees.com/about-detect-hidden-fees,about-detect-hidden-fees.html,"Our AI is trained on thousands of documents to recognize common hidden fee patterns, pricing anomalies, and potentially unfavorable contract language. However, AI has limitations. It may not identify every issue, and it may occasionally flag charges or terms that are legitimate. New fee structures emerge regularly, and the AI may not immediately recognize patterns it has not been trained on.","[""savings_or_financial_outcome"", ""pricing_or_market_rate"", ""ai_performance"", ""absolute_or_superlative""]",promotional_or_product_statement,False,[],no_visible_source_found,unassessed,,not stated,high,True,High,Move performance claim to documented testing or remove unsupported number
https://detecthiddenfees.com/about-detect-hidden-fees,about-detect-hidden-fees.html,We are transparent about these limitations. Our AI Accuracy & Limitations page provides detailed information about what our AI can and cannot do.,"[""ai_performance""]",promotional_or_product_statement,False,[],no_visible_source_found,unassessed,,not stated,medium,True,Critical,Owner or specialist verification required; narrow or remove until supported
https://detecthiddenfees.com/about-detect-hidden-fees,about-detect-hidden-fees.html,Privacy is fundamental to how we operate. Documents uploaded for analysis are encrypted during transmission and automatically deleted after processing is complete. We do not use uploaded documents for AI training. We do not share document contents with third parties. Our full Privacy & AI Security policy explains our data handling practices in detail.,"[""security_privacy"", ""absolute_or_superlative""]",factual_or_generalized,False,[],no_visible_source_found,unassessed,,not stated,high,True,High,Verify against product code and policy; narrow wording if unverifiable
https://detecthiddenfees.com/about-detect-hidden-fees,about-detect-hidden-fees.html,"All content on DetectHiddenFees.com follows our Editorial Policy , which outlines our fact-checking process, correction procedures, and commitment to accurate information. Our Research Methodology page explains how we study hidden fees across industries using publicly available data, regulatory filings, and industry reports.","[""legal_or_regulatory"", ""ai_performance"", ""absolute_or_superlative""]",instructional,False,[],no_visible_source_found,unassessed,,not stated,high,True,High,Add primary jurisdiction-specific source and legal qualifier or refer for review
https://detecthiddenfees.com/about-detect-hidden-fees,about-detect-hidden-fees.html,"We do not accept payments or incentives from companies for coverage, positive mentions, or the inclusion or exclusion of specific information in our content. Our editorial decisions are made independently based on what we believe is most useful for consumers.","[""absolute_or_superlative""]",factual_or_generalized,False,[],no_visible_source_found,unassessed,,not stated,medium,False,Medium,Narrow absolute or promotional wording
https://detecthiddenfees.com/about-detect-hidden-fees,about-detect-hidden-fees.html,Not rely solely on AI for significant financial or legal decisions,"[""legal_or_regulatory""]",factual_or_generalized,False,[],no_visible_source_found,unassessed,,not stated,high,True,High,Add primary jurisdiction-specific source and legal qualifier or refer for review
https://detecthiddenfees.com/about-detect-hidden-fees,about-detect-hidden-fees.html,"For more details, see our AI Accuracy & Limitations and Security Overview pages.","[""ai_performance"", ""security_privacy""]",promotional_or_product_statement,False,[],no_visible_source_found,unassessed,,not stated,high,True,Critical,Owner or specialist verification required; narrow or remove until supported
https://detecthiddenfees.com/about-detect-hidden-fees,about-detect-hidden-fees.html,"Upload any bill, contract, invoice, or estimate for AI-assisted fee detection. Get a detailed analysis in minutes.","[""product_capability"", ""absolute_or_superlative""]",factual_or_generalized,False,[],no_visible_source_found,unassessed,,not stated,high,False,Medium,Verify in product implementation or policy before retaining as fact
https://detecthiddenfees.com/about-detect-hidden-fees,about-detect-hidden-fees.html,Upload your bill to HiddenFeeAI and get a detailed analysis of what you should challenge. Know exactly what to say and save money.,"[""savings_or_financial_outcome"", ""product_capability""]",promotional_or_product_statement,False,[],no_visible_source_found,unassessed,,not stated,high,True,High,Add a directly supporting source or label as an example/estimate
https://detecthiddenfees.com/ai-accuracy-and-limitations,ai-accuracy-and-limitations.html,"Upload any bill or service agreement to HiddenFeeAI. The AI identifies overcharges, hidden fees, and negotiation opportunities. Get your analysis in minutes and start saving.","[""savings_or_financial_outcome"", ""product_capability"", ""absolute_or_superlative""]",promotional_or_product_statement,False,[],no_visible_source_found,unassessed,,not stated,high,True,High,Add a directly supporting source or label as an example/estimate
https://detecthiddenfees.com/ai-accuracy-and-limitations,ai-accuracy-and-limitations.html,"HiddenFeeAI is a powerful tool for identifying potential issues in contracts, bills, invoices, and other financial documents. However, it is important to understand what our AI does well, where it has limitations, and how to use its findings most effectively. This honest assessment will help you interpret your analysis results correctly and make informed decisions based on the AI findings combined with your own judgment.","[""absolute_or_superlative""]",promotional_or_product_statement,False,[],no_visible_source_found,unassessed,,not stated,medium,False,Medium,Narrow absolute or promotional wording
https://detecthiddenfees.com/ai-accuracy-and-limitations,ai-accuracy-and-limitations.html,"This page does not publish a verified accuracy percentage for HiddenFeeAI. Any performance claim should be based on a documented test protocol, a defined dataset, a versioned system, and separately reported false positives and false negatives. Users should treat results as potential issues to review, not as a complete determination.","[""ai_performance"", ""market_or_prevalence"", ""absolute_or_superlative""]",promotional_or_product_statement,False,[],no_visible_source_found,unassessed,,not stated,medium,True,Critical,Owner or specialist verification required; narrow or remove until supported
https://detecthiddenfees.com/ai-accuracy-and-limitations,ai-accuracy-and-limitations.html,"However, AI accuracy depends on the quality and breadth of its training data. The available public materials do not establish the size, composition, or coverage of any HiddenFeeAI training or evaluation dataset. The system may not have encountered every fee structure or contract variation. New fee structures emerge constantly as companies develop new ways to increase revenue. The AI may not immediately identify patterns it has not been specifically trained on.","[""ai_performance"", ""absolute_or_superlative""]",promotional_or_product_statement,False,[],no_visible_source_found,unassessed,,not stated,medium,True,Critical,Owner or specialist verification required; narrow or remove until supported
https://detecthiddenfees.com/ai-accuracy-and-limitations,ai-accuracy-and-limitations.html,False positives are another consideration. The AI may occasionally flag charges or terms that are legitimate but unusual. A specialized medical procedure may legitimately cost more than typical rates. A contract term that appears one-sided may be standard practice in a particular industry. Human judgment is needed to determine whether flagged items are actually problematic in context. The most effective approach combines AI analysis with human judgment.,"[""pricing_or_market_rate"", ""ai_performance"", ""absolute_or_superlative""]",estimated_or_qualified,False,[],no_visible_source_found,unassessed,,not stated,high,True,High,Move performance claim to documented testing or remove unsupported number
https://detecthiddenfees.com/ai-accuracy-and-limitations,ai-accuracy-and-limitations.html,Upload your bill to HiddenFeeAI and get a detailed analysis of what you should challenge. Know exactly what to say and save money.,"[""savings_or_financial_outcome"", ""product_capability""]",promotional_or_product_statement,False,[],no_visible_source_found,unassessed,,not stated,high,True,High,Add a directly supporting source or label as an example/estimate
https://detecthiddenfees.com/ai-accuracy-and-limitations,ai-accuracy-and-limitations.html,"AI systems can create risks from incorrect, incomplete, or context-sensitive outputs. The NIST AI Risk Management Framework provides a general risk-management reference; it is not a performance evaluation of HiddenFeeAI. Product capability, privacy, retention, and security details require current first-party verification.","[""security_privacy""]",promotional_or_product_statement,True,"[{""label"": ""NIST AI Risk Management Framework"", ""url"": ""https://www.nist.gov/itl/ai-risk-management-framework""}]",requires_manual_verification,unassessed,,not stated,high,True,High,Verify against product code and policy; narrow wording if unverifiable
https://detecthiddenfees.com/ai-agreement-analyzer,ai-agreement-analyzer.html,"Every agreement you sign contains language that can cost you money if you do not catch it in time. An AI agreement analyzer reads your document the way an experienced reviewer would, identifying hidden fees, one-sided clauses, and pricing traps that standard consumer agreements bury in fine print.","[""savings_or_financial_outcome"", ""pricing_or_market_rate"", ""absolute_or_superlative""]",instructional,False,[],no_visible_source_found,unassessed,,not stated,high,True,High,Add a directly supporting source or label as an example/estimate
https://detecthiddenfees.com/ai-agreement-analyzer,ai-agreement-analyzer.html,Liability provisions determine who bears the financial risk when something goes wrong. A well-balanced contract shares risk fairly between the parties. An unbalanced contract pushes all the risk onto you. AI identifies which provisions are balanced and which are tilted against your interests.,"[""absolute_or_superlative""]",factual_or_generalized,False,[],no_visible_source_found,unassessed,,not stated,medium,False,Medium,Narrow absolute or promotional wording
https://detecthiddenfees.com/ai-agreement-analyzer,ai-agreement-analyzer.html,"Dispute resolution clauses control what happens if you need to take legal action. Mandatory arbitration, venue selection, and waiver of jury trial can significantly affect your ability to enforce your rights. AI identifies these provisions and explains their practical impact.","[""legal_or_regulatory""]",factual_or_generalized,False,[],no_visible_source_found,unassessed,,not stated,high,True,High,Add primary jurisdiction-specific source and legal qualifier or refer for review
https://detecthiddenfees.com/ai-agreement-analyzer,ai-agreement-analyzer.html,Assignment provisions determine whether a party can transfer their rights and obligations to someone else without your consent. Contracts that allow unrestricted assignment can leave you dealing with a party you never agreed to work with. AI identifies assignment language that should be restricted.,"[""legal_or_regulatory"", ""absolute_or_superlative""]",instructional,False,[],no_visible_source_found,unassessed,,not stated,high,True,High,Add primary jurisdiction-specific source and legal qualifier or refer for review
https://detecthiddenfees.com/ai-agreement-analyzer,ai-agreement-analyzer.html,Waiver of jury trial provisions require you to give up your constitutional right to have a jury decide disputes. These provisions are common in consumer contracts but many people do not realize they are agreeing to them. AI flags these provisions for your attention.,"[""legal_or_regulatory""]",factual_or_generalized,False,[],no_visible_source_found,unassessed,,not stated,high,True,High,Add primary jurisdiction-specific source and legal qualifier or refer for review
https://detecthiddenfees.com/ai-agreement-analyzer,ai-agreement-analyzer.html,Class action waiver provisions prevent you from joining with others who have been harmed by the same party to pursue legal action collectively. These provisions significantly limit your ability to seek recourse for widespread harm. AI identifies these waivers and explains their implications.,"[""legal_or_regulatory"", ""market_or_prevalence""]",factual_or_generalized,False,[],no_visible_source_found,unassessed,,not stated,high,True,High,Add primary jurisdiction-specific source and legal qualifier or refer for review
